Address,Amount
0x8deecb109b854aee9dcde0778e77b60d694697c3,$13.44
0x07edcf4925bb219d02dc77a8e61abad3de2c9922,$64.61
0xc7599c9c280c3fdb94b3d0c0cfe9f86e08dbd961,$255.58
0x8c25632048fde94511ba7da5785cbfca179f6b77,$40.6
0x6b6c322888ef96d3dc2d4759450352eb71245900,$967.35
0x357f4da4c20d812d55543433c96c7a154b9a5c53,$565.85
0xd4386a878b76715537b2f030f11a4ac933906daf,$0.02
0xee7c077abad180cb3c7c60fb29732bbb19815273,$0.62
0x2a724be1b63caec1c3ef95834fdd443c3347ee1d,$16.92
0x3c6d4ff09fac50ca6ec6802d4a04d884ced969ec,$38.69
0xe12d731750e222ec53b001e00d978901b134cfc9,$2.02
0x8e150600934a63336c2d6e75a1b41d96039eb445,$1.02
0xd8f89e6437b7d515706dcab8c9a8219eaf4863ce,$16023.59
0x2277525f82513525fa800239524fe462773fd43d,$89.76
0x946911b1ab018978120455d8f05a9a24fd6534bc,$49.75
0x6a4f702fdf49a348ed98a45e0298be8952fdf866,$12.87
0x7c659bab15e8c8bed74f1b9c1c2cadee39884f19,$17.31
0x4d9d6d039b58cbda951d052794f2e64ddd99e6ae,$25.36
0x9d6075203fbc27847afe0edd4c1cf1a93de5196c,$7.6
0x5bf64c6bbe1a0f3342b499c7f26b3fa3ead0cb0d,$3616.74
0xa5aa5f4d5f30e76bd2c6a7561fcdc77a740d436a,$3.64
0x773b573a68318eb5506016981452b249ebcd4443,$11467.1
0x2bf36220c20110b4cc2287d5ead8276e867d36b9,$50.63
0xc1d98ab8e443b4dade07ce88c170f46f6382d0dc,$0.0
0x45ba8f9d1c9a68b47ed73248f307fc30ce6af89a,$0.03
0xe55bc67c58a6ff75a7011b15c8bfecfd774e2045,$0.0
0xb2812370f17465ae096ced55679428786734a678,$1086.38
0x6b1323272059b2dbbfe5ffb79fd8b5fb561a216b,$4.74
0x5a8e9fa98e02c96eac01ec44df16ab0aa16c3e91,$36.8
0x33e7b2c5fed39d2dbb3e8c8e4c07df81b65d015b,$10.18
0x82e3252313bedeedb03e1add530dda936d38ade8,$345.63
0xeed1a716e101d3a2bf1728ec421a8b4227f3b653,$14.36
0x7efdec1d3fa35a11906928c5b4416c5c8ebb8ff6,$15.29
0xdcd1d1d4ab3f82abad68b1bde4b69c1b051cacd4,$1.49
0x5275817b74021e97c980e95ede6bbac0d0d6f3a2,$0.25
0xfe916249feb19b2099c9e16266b24a23e9c44ed3,$1131.7
0x2c9ce0894515c31c557ffbeb987c2b2018b304ad,$0.43
0xbb103a0e7abe338de3b5222eb6dfe8e50f17d376,$2728.44
0x93893f7e609888801ea67a586fc40fdb06f8b700,$470.64
0xa3cc3893b0d952c312afbd42d48d5b3b1ac177ff,$1.02
0xa4a1ffc4b4fb9f215136bf95753676e7899a141f,$17.09
0xd4edb2c764a0864772c6a42c41cbd3239c7b5d2b,$6.06
0x678edfa56dc0d299f6ed58f0f095b14d2587ae86,$45.01
0x572ffc9f8d8ea42c811b84cdb5d1d14bc4699c9f,$97.17
0x13846a5e1bfba1d979cebd971cbab2a328fc38a4,$3.37
0x1b437898404f0d8a2fbdfd56aa03cce1aaa1e92c,$0.0
0xec744c6a3e07993264f40f1b0a1d6c99bbae9c8c,$3.55
0x5ca7aed8f72328fd52f1ec6d4958f201ef589e2f,$287.43
0x5548e0342dd2618b0378baf49653819e9b184e75,$0.42
0xbaac6ed05b2feb47ef04b63018a27d80cbea10d1,$0.0
0xffbc10d5520d549f36dd6f4774710e121d9ea1d1,$151.91
0xf5908c56fb645ed954bd26c784f4a1439ebf4db8,$1319.47
0xec48d396c9ea9a0ee7835cf80c772623ca53586f,$424.99
0xefd4995118b757967e8b09075443b341d757817d,$68.57
0x49a5492fdfe5acc966dd5f41310dfdfe8daa349c,$17.14
0x3021338c74f10cef1ece6404ac1498c2559f7a5c,$1050.84
0xf89304138b35ce427e65f344c50c82f6609896e9,$72.68
0x35fcb4870a6489b9e367ded027e9e99a10397619,$2.5
0x46dff191646ba20453c6f6d9c7ff60431c17f07b,$0.85
0xe07bbdb8c548d9b943c4b211360655a4439c944b,$0.34
0x1c15e05408bec7332ad6fa4815b2a24cf31f600b,$189.11
0x9bc5857b5ac75ffaec493eaa5a55c889ca6ba0fc,$69.11
0x1abee6879bd08cc164c1ebd44fd71399f1529205,$635.13
0x454669250a5d35f96f19e0e429129e45aae45b54,$10.31
0xfa003fcb52d3a91082437ddd69297a3adf94893f,$5.19
0x0a54b099a1bd6f2f62902921fd7f41e0185811db,$23.97
0xf0503652ee03a3d5b21056251b588107ccb46fc8,$148.81
0x8fda1ead2709923c058217b441ef5a5bf09f4022,$0.34
0xbe19a2f7f7491e95d6f4f3d6051535d8f81d7501,$3.07
0x4216c6b468724e72b4791c6483a5eb5d29e75deb,$1745.75
0x4b83579f001fc572c0738bae98559f2dd0fe25d4,$121.69
